,permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_number_suffix,street_name,street_suffix,unit,unit_suffix,description,status,status_date,filed_date,issued_date,completed_date,first_construction_document_date,structural_notification,number_of_existing_stories,number_of_proposed_stories,voluntary_soft_story_retrofit,fire_only_permit,estimated_cost,revised_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,tidf_compliance,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,site_permit,last_permit_activity_date,application_submission_method,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,zipcode,location,point_source,record_id,data_as_of,data_loaded_at
10,202306260835,8,otc alterations permit,2023-06-26T11:01:21.000,0258,032,601,,California,St,,,title 24 compliance for tenant improvement under pa 202209152486. maher n/a,issued,2023-06-26T13:27:43.000,2023-06-26T11:01:21.000,2023-06-26T13:27:43.000,,,,22.0,22.0,,,125000.0,125000.0,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,2023-06-26T13:25:54.000,in-house,N,Y,3,Financial District/South Beach,94108.0,POINT (-122.404685586 37.792359393),parcel_centroid,167196466051,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
11,202306260830,8,otc alterations permit,2023-06-26T10:45:00.000,2524,002,39,,El Mirasol,Pl,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T10:46:29.000,2023-06-26T10:45:00.000,2023-06-26T10:46:29.000,,,,,,,,17000.0,17000.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T10:45:00.000,website,N,Y,4,Sunset/Parkside,94132.0,POINT (-122.486202226 37.734552292),parcel_centroid,1671959138626,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
12,202306260825,8,otc alterations permit,2023-06-26T09:58:54.000,1363,004,115,,03rd,Av,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T10:03:01.000,2023-06-26T09:58:54.000,2023-06-26T10:03:01.000,,,,,,,,10000.0,10000.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T09:58:55.000,website,N,Y,1,Inner Richmond,94118.0,POINT (-122.461729131 37.786456862),parcel_centroid,167195496804,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
13,202306260824,8,otc alterations permit,2023-06-26T09:55:27.000,7052,046,535,,Lakeview,Av,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T09:58:29.000,2023-06-26T09:55:27.000,2023-06-26T09:58:29.000,,,,,,,,23880.0,23880.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T09:55:27.000,website,N,Y,11,Oceanview/Merced/Ingleside,94112.0,POINT (-122.45487039 37.718034796),parcel_centroid,1671953219290,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
14,202306260816,8,otc alterations permit,2023-06-26T09:02:45.000,5616,045,128,,Lundys,Ln,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T09:10:19.000,2023-06-26T09:02:45.000,2023-06-26T09:10:19.000,,,,,,,,16520.0,16520.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T09:02:46.000,website,N,Y,9,Bernal Heights,94110.0,POINT (-122.419419762 37.7433599),parcel_centroid,1671943184990,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
15,202306260815,3,additions alterations or repairs,2023-06-26T08:56:50.000,0467A,049,15,,Alhambra,St,0.0,,fire alarm replacement system to comply with sffd ab #3.08 and ab #2.01.,filed,2023-06-26T08:56:51.000,2023-06-26T08:56:51.000,,,,,3.0,3.0,,Y,5000.0,,apartments,6.0,apartments,6.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T08:49:49.000,in-house,N,Y,2,Marina,94123.0,POINT (-122.43744124 37.802692741),parcel_centroid,1671942302461,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
16,202306260804,8,otc alterations permit,2023-06-26T07:51:33.000,2890,023,15,,Balceta,Av,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T07:52:32.000,2023-06-26T07:51:33.000,2023-06-26T07:52:32.000,,,,,,,,13000.0,13000.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T07:51:34.000,website,N,Y,7,West of Twin Peaks,94127.0,POINT (-122.4561834 37.746146755),parcel_centroid,1671931146643,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
17,202306260803,8,otc alterations permit,2023-06-26T07:27:59.000,6632,055,224,,Day,St,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T07:28:41.000,2023-06-26T07:27:59.000,2023-06-26T07:28:41.000,,,,,,,,25000.0,25000.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T07:28:00.000,website,N,Y,8,Noe Valley,94131.0,POINT (-122.427328121 37.743044924),parcel_centroid,1671930209626,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
18,202306260892,8,otc alterations permit,2023-06-26T00:00:00.000,1430,022,208,,Clement,St,,,"accessible business entrance program per ordinance 51-16 regrade sidewalk in fornt of the property to provide level landing at exterior side of door, relocate furniture to provide interior door maneuvering clearnce, adjust (e) mdoor closer pressure and install kick plate at push side of door",filed,2023-06-26T15:40:34.000,2023-06-26T15:40:34.000,,,,,2.0,,,,4000.0,0.0,food/beverage hndlng,2.0,food/beverage hndlng,2.0,2,,"R-2,B","R-2,B",5,wood frame (5),5,wood frame (5),,2023-06-26T15:46:03.000,in-house,N,Y,1,Inner Richmond,94118.0,POINT (-122.461497167 37.783329936),parcel_centroid,1672037360779,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
19,202306260878,8,otc alterations permit,2023-06-26T00:00:00.000,3283,179,601,,Dorado,Tr,45.0,,reroofing.  install modified bitumen membrane over (e) capsheet roof,issued,2023-06-26T14:51:24.000,2023-06-26T14:01:08.000,2023-06-26T14:51:24.000,,,,2.0,2.0,,,16000.0,16000.0,apartments,6.0,apartments,6.0,0,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T14:50:48.000,in-house,N,Y,7,West of Twin Peaks,94112.0,POINT (-122.46163132 37.725626771),parcel_centroid,1672021156079,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
20,202306260858,8,otc alterations permit,2023-06-26T00:00:00.000,6696,011,372,,Laidley,St,,,to comply with nov#202300943. rebuild front damaged staircase. structural shoring work to be done in phasing to accomodate temp staircase and new proposed concrete retaining walls and staircase.,filed,2023-06-26T12:22:02.000,2023-06-26T12:22:02.000,,,,,3.0,3.0,,,200000.0,0.0,1 family dwelling,1.0,1 family dwelling,1.0,2,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T12:25:15.000,in-house,N,Y,8,Glen Park,94131.0,POINT (-122.429219303 37.737383066),parcel_centroid,1672000210886,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
21,202306260874,8,otc alterations permit,2023-06-26T00:00:00.000,1228,012,1953,,Page,St,0.0,,"voluntary strenghtening on the ground fl. add plywood shear walls, simpson wood panels with concrt grade beams",filed,2023-06-26T13:40:04.000,2023-06-26T13:40:04.000,,,,,4.0,4.0,,,80000.0,0.0,apartments,3.0,apartments,3.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T15:45:34.000,in-house,N,,5,Haight Ashbury,94117.0,POINT (-122.452845012 37.769925018),parcel_centroid,1672017408174,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
22,202306260838,8,otc alterations permit,2023-06-26T00:00:00.000,1361,078,215,,Arguello,Bl,,,reroofing,issued,2023-06-26T12:23:33.000,2023-06-26T11:17:13.000,2023-06-26T12:23:33.000,,,,3.0,3.0,,,11800.0,11800.0,2 family dwelling,2.0,2 family dwelling,2.0,0,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T12:23:10.000,in-house,N,Y,1,Inner Richmond,94118.0,POINT (-122.459576545 37.786551797),parcel_centroid,167196796738,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
23,202306260817,8,otc alterations permit,2023-06-26T00:00:00.000,3582,085,429,,Castro,St,,,"dish: remove (e) sprint equipment and antenas, insatll (3) (n) antennas inside (2) (n) radomes, install (1) (n) cabinet, install (n) power and fiber trunks, re-use (e) telco conduit, no proposed batteries",filed,2023-06-26T09:06:22.000,2023-06-26T09:06:22.000,,,,,2.0,2.0,,,130000.0,0.0,theater,,theater,,2,,A-1,A-1,5,wood frame (5),5,wood frame (5),,2023-06-26T14:26:11.000,in-house,N,Y,8,Castro/Upper Market,94114.0,POINT (-122.434696208 37.762012943),parcel_centroid,1671945465468,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
24,202306260846,8,otc alterations permit,2023-06-26T00:00:00.000,3568,075,3468,,17th,St,,,revision to pa#202104299595. replace additional 4 windows at rear of property w/ siteline brand clad wood units.,filed,2023-06-26T11:44:48.000,2023-06-26T11:44:48.000,,,,,4.0,4.0,,,1000.0,3500.0,apartments,3.0,apartments,3.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T15:31:38.000,in-house,N,Y,9,Mission,94110.0,POINT (-122.423292968 37.763447621),parcel_centroid,1671978496389,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
25,202306260821,8,otc alterations permit,2023-06-26T00:00:00.000,0324,026,302,,Ellis,St,0.0,,sidewalk replacement and waterproofing over sub-sidewalk basement adjustment of elevator frame to new sidewalk upgrade,filed,2023-06-26T09:28:56.000,2023-06-26T09:28:56.000,,,,,2.0,2.0,,,57427.0,0.0,church,1.0,church,1.0,2,,"A-3,R-3","A-3,R-3",,,,,,2023-06-26T15:09:35.000,in-house,N,Y,5,Tenderloin,94102.0,POINT (-122.411440029 37.785224307),parcel_centroid,1671950291481,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
26,202306260834,8,otc alterations permit,2023-06-26T00:00:00.000,0258,032,601,,California,St,,,title 24 compliance for tenant improvement under pa 202209152486. maher n/a,issued,2023-06-26T13:41:41.000,2023-06-26T10:58:45.000,2023-06-26T13:41:41.000,,,,22.0,22.0,,,125000.0,175000.0,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,2023-06-26T13:40:32.000,in-house,N,Y,3,Financial District/South Beach,94108.0,POINT (-122.404685586 37.792359393),parcel_centroid,167196366051,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
27,202306260885,3,additions alterations or repairs,2023-06-26T00:00:00.000,6938,004,1171,,Capitol,Av,,,"create new 1 bedroom adu unit on ground floor at rear of existing garage. add new deck 30"" above grade to access rear yard. comply to nov 202301350",filed,2023-06-26T14:45:48.000,2023-06-26T14:45:48.000,,,,,1.0,2.0,,,50000.0,,1 family dwelling,1.0,2 family dwelling,2.0,2,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T14:56:56.000,in-house,N,Y,11,Oceanview/Merced/Ingleside,94112.0,POINT (-122.459523211 37.723121454),parcel_centroid,1672030214595,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
28,202306260826,8,otc alterations permit,2023-06-26T00:00:00.000,8722,021,1,,Warriors,Wy,,,"t.i. furnishing all equipment, materias and labor necessary for the construction and renovation of a laundry facility in room ed.02.19 and ed.02.20 on level 000 of the arena. remove and reinstall in same location.",filed,2023-06-26T10:09:39.000,2023-06-26T10:09:39.000,,,,,8.0,8.0,,,420000.0,0.0,recreation bldg,,recreation bldg,,2,,"B,A-3,S-2,M,A-2","B,A-3,S-2,M,A-2",1,constr type 1,1,constr type 1,,2023-06-26T10:56:05.000,in-house,N,Y,6,Mission Bay,94158.0,POINT (-122.387665569 37.767972512),parcel_centroid,1671956515681,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
29,202306260851,8,otc alterations permit,2023-06-26T00:00:00.000,2763,038,775,,Corbett,Av,,,"rear units.  replace (2) sliding doors, one in the living room unit #5, and one in the living room unit #6 in existing openings, not visible from the street. u fator less than 0.30. same size, replace in kind.",issued,2023-06-26T12:21:25.000,2023-06-26T11:55:01.000,2023-06-26T12:21:25.000,,,,3.0,3.0,,,9800.0,9800.0,apartments,8.0,apartments,8.0,0,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T12:20:01.000,in-house,N,Y,8,Twin Peaks,94131.0,POINT (-122.442335719 37.754311545),parcel_centroid,1671983143527,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
30,202306260867,8,otc alterations permit,2023-06-26T00:00:00.000,2822A,004,14,,Mountview,Ct,,,construct deck at side yard and replace 2 windows with sliding doors.,filed,2023-06-26T13:08:09.000,2023-06-26T13:08:09.000,,,,,2.0,2.0,,,2000.0,0.0,1 family dwelling,1.0,1 family dwelling,1.0,2,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T13:09:20.000,in-house,N,Y,7,Twin Peaks,94131.0,POINT (-122.450073462 37.747753795),parcel_centroid,1672009145010,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
31,202306260808,8,otc alterations permit,2023-06-26T00:00:00.000,0235,022,50,,California,St,,,"28th fl - demo of partitions, ceilings, finishes and millwork; remodel of (e) restrooms and elevator lobby. the space will remain unoccupied after this project. any future ti's will be under separate permit. no new plumbing fixtures",filed,2023-06-26T08:09:40.000,2023-06-26T08:09:40.000,,,,,37.0,37.0,,,469000.0,469000.0,office,0.0,office,0.0,2,,"B,M,S-2","B,M,S-2",1,constr type 1,1,constr type 1,,2023-06-26T10:39:58.000,in-house,N,Y,3,Financial District/South Beach,94111.0,POINT (-122.397347692 37.794053198),parcel_centroid,167193563364,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
32,202306260888,8,otc alterations permit,2023-06-26T00:00:00.000,0131,024,517,,Green,St,,,to comply with nov# 201959911. install handrailing at common area staircase,issued,2023-06-26T15:45:48.000,2023-06-26T15:04:56.000,2023-06-26T15:45:48.000,,,,3.0,3.0,,,3000.0,3000.0,residential hotel,2.0,residential hotel,2.0,0,,"M,R-2","M,R-2",5,wood frame (5),5,wood frame (5),,2023-06-26T15:43:18.000,in-house,N,Y,3,North Beach,94133.0,POINT (-122.407708451 37.799382097),parcel_centroid,167203260200,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
33,202306260842,8,otc alterations permit,2023-06-26T00:00:00.000,4991,683,101,,West Crystal Cove,Tr,,,"maintenance of (e) exterior walls, stucco waterproof privancy fence on patios maintenance, roof maintenance deck coating maintanence.all repairs to be done same and in-kind. not visible from street.",issued,2023-06-26T12:26:48.000,2023-06-26T11:36:43.000,2023-06-26T12:26:48.000,,,,3.0,3.0,,,50000.0,50000.0,apartments,8.0,apartments,8.0,0,,R-2,R-2,3,constr type 3,3,constr type 3,,2023-06-26T12:15:45.000,in-house,N,Y,10,Bayview Hunters Point,94134.0,POINT (-122.394840121 37.712240255),parcel_centroid,1671990494917,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
34,202306260871,8,otc alterations permit,2023-06-26T00:00:00.000,1447,012,355,,15th,Av,,,"to verify existing sound levels in sleeping areas, complying with sffc section 1103.7.6.1",filed,2023-06-26T13:16:18.000,2023-06-26T13:16:18.000,,,,,4.0,4.0,,Y,1.0,0.0,apartments,6.0,apartments,6.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T13:17:13.000,in-house,N,Y,1,Outer Richmond,94118.0,POINT (-122.474367185 37.781458039),parcel_centroid,1672013100072,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
35,202306260857,8,otc alterations permit,2023-06-26T00:00:00.000,4829,008,1584,,Wallace,Av,,,"reroofing. will compy with ""cool roof"" requirement.",issued,2023-06-26T13:10:15.000,2023-06-26T12:19:21.000,2023-06-26T13:10:15.000,,,,1.0,1.0,,,20000.0,20000.0,nursery(floral),,nursery(floral),,0,,B,B,5,wood frame (5),5,wood frame (5),,2023-06-26T13:08:20.000,in-house,N,,10,Bayview Hunters Point,94124.0,POINT (-122.39051586 37.727444301),parcel_centroid,1671996516223,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
36,202306260862,8,otc alterations permit,2023-06-26T00:00:00.000,1170,037,310,,Stanyan,St,,,fire alarm upgrade. to comply with sffd section 1103.7.6.1.,filed,2023-06-26T12:37:55.000,2023-06-26T12:37:55.000,,,,,3.0,3.0,,Y,26860.0,0.0,apartments,12.0,apartments,12.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T12:38:42.000,in-house,N,Y,1,Lone Mountain/USF,94118.0,POINT (-122.45447291 37.775353109),parcel_centroid,1672004239806,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
37,202306260891,8,otc alterations permit,2023-06-26T00:00:00.000,0919,001,2101,,Beach,St,,,furnish and istall new siding panels overlay on top of existing south wall of building with building paper approx 2600 sqft non-street elevation. repair surface as needed. no changes to dimensions no windows work,issued,2023-06-26T16:00:17.000,2023-06-26T15:35:58.000,2023-06-26T16:00:17.000,,,,3.0,3.0,,,33600.0,33600.0,apartments,18.0,apartments,18.0,0,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T15:57:29.000,in-house,N,Y,2,Marina,94123.0,POINT (-122.44386 37.80351),eas_address_point,1672036238116,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
38,202306260833,8,otc alterations permit,2023-06-26T00:00:00.000,3794,002B,760,,02nd,St,,,as built drawings for carbo dioxide lines,filed,2023-06-26T10:57:01.000,2023-06-26T10:57:01.000,,,,,1.0,1.0,,,1.0,0.0,food/beverage hndlng,0.0,food/beverage hndlng,0.0,2,,A-2,A-2,5,wood frame (5),5,wood frame (5),,2023-06-26T13:38:56.000,in-house,N,Y,6,Mission Bay,94107.0,POINT (-122.39021385 37.779843133),parcel_centroid,1671962167862,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
39,202306260813,3,additions alterations or repairs,2023-06-26T00:00:00.000,0467A,048,27,,Alhambra,St,0.0,,fire alarm replacement system to comply with sffd ab #3.08 and ab #2.01.,filed,2023-06-26T08:47:48.000,2023-06-26T08:47:48.000,,,,,2.0,2.0,,Y,5000.0,,apartments,6.0,apartments,6.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T08:49:49.000,in-house,N,Y,2,Marina,94123.0,POINT (-122.437503061 37.802643348),parcel_centroid,1671939302445,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
40,202306260886,8,otc alterations permit,2023-06-26T00:00:00.000,0828,042,650,,Oak,St,,,"in kind stucco replacement at the front of the house- replace existing stucco, replace existing waterproofing membrane and stucco wire mesh. replace exsitng plywood if needed.",issued,2023-06-26T15:27:21.000,2023-06-26T14:46:12.000,2023-06-26T15:27:21.000,,,,2.0,2.0,,,50000.0,50000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T15:25:02.000,in-house,N,Y,5,Hayes Valley,94117.0,POINT (-122.430121721 37.774346961),parcel_centroid,1672029502448,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
41,202306260819,8,otc alterations permit,2023-06-26T00:00:00.000,5717,009,381,,Park,St,0.0,,front bldg - re-construct rear entrance stair deterioated. rear bldg - reconstruct deterioated stair and general remodel bathroom and kitchen.,filed,2023-06-26T09:12:49.000,2023-06-26T09:12:49.000,,,,,3.0,3.0,,,28000.0,0.0,apartments,4.0,apartments,4.0,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T09:24:26.000,in-house,N,Y,9,Bernal Heights,94110.0,POINT (-122.41719349 37.736550815),parcel_centroid,1671946405358,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
42,202306260839,8,otc alterations permit,2023-06-26T00:00:00.000,3283,174,700,,Dorado,Tr,56.0,,reroofing,issued,2023-06-26T12:23:47.000,2023-06-26T11:20:28.000,2023-06-26T12:23:47.000,,,,2.0,2.0,,,18000.0,18000.0,apartments,57.0,apartments,57.0,0,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T12:17:56.000,in-house,N,Y,7,West of Twin Peaks,94112.0,POINT (-122.46163132 37.725626771),parcel_centroid,1671968156074,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
